Sat Dec 26 21:59:08 +0000 2015,680870484565716992,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",eutuncel,,,,"RT @abdullahciftcib: 3-Hükümet, ODTÜ'den ""nic.tr"" hizmetini devralmak istiyor. Yasa çıkartın hemen alın. ABD/ICANN yasa olmadan vermez."

Sat Dec 26 21:58:55 +0000 2015,680870429532229632,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",zaferates74,‏صردنكچتي,,,@sahinmerkezoglu @ustakiloyunu Ben Tam Anlamam.Kuzenim Anlattı Nic.Tr Kullanım Hakkını Odtüden Alıp Birazda Geliştirirsek Siber Gücüz Dedi.

Sat Dec 26 21:58:15 +0000 2015,680870263316189187,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",smtcoban,,,,"RT @abdullahciftcib: 3-Hükümet, ODTÜ'den ""nic.tr"" hizmetini devralmak istiyor. Yasa çıkartın hemen alın. ABD/ICANN yasa olmadan vermez."

Sat Dec 26 21:58:05 +0000 2015,680870222518185985,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Mhmmtbyrk52,,,,"RT @abdullahciftcib: 3-Hükümet, ODTÜ'den ""nic.tr"" hizmetini devralmak istiyor. Yasa çıkartın hemen alın. ABD/ICANN yasa olmadan vermez."

Sat Dec 26 21:56:34 +0000 2015,680869841008496641,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",mehmetkose,,,,RT @voransoy: Nic.tr'nin yaşadığı DDoS problemi üzerine... https://t.co/RZUhFj8SLX https://t.co/yrArhCo67G

Sat Dec 26 21:52:49 +0000 2015,680868894383435776,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",AdilKESKN,,,,"RT @abdullahciftcib: 3-Hükümet, ODTÜ'den ""nic.tr"" hizmetini devralmak istiyor. Yasa çıkartın hemen alın. ABD/ICANN yasa olmadan vermez."

